"NO","FIELD","FORM FIELD ID","FORM FIELD NAME","START","END","LENGTH","TYPE","DESCRIPTION","REQUIRED","VALUE","REGEXP","FILL"
1,"H",,,1,3,3,"TEXT","TRANSMISSION HEADER MARKER","Y","HD1","[A-Z]{2}\d",
2,"H",,,4,6,3,"NUMERIC","SUBMITTER ID","Y",272,"\d{3}","LZ"
3,"H",,,7,15,9,"NUMERIC","SUBMITTER ZIP CODE","Y",35901,"\d{5}(\d{4})?","RS"
4,"H",,,16,24,9,"NUMERIC","SUBMITTER FEDERAL TAX ID","Y",631040950,"\d{9}",
5,"H",,,25,26,2,"NUMERIC","FORM ID","Y",10,"\d{2}",
6,"H",,,27,28,2,"TEXT","REVISION INDICATOR","Y","D",,
7,"H",,,29,29,1,"TEXT","TEST / PRODUCTION INDICATOR","Y",,"[TP]",
8,"H",,,30,37,8,"DATE","DATE OF SUBMISSION","Y",,"\d{8}",
9,"H",,,38,300,263,"TEXT","SPACE FILLER",,,,
1,"A",,,1,13,13,"NUMERIC","CLAIM CONTROL NUMBER","Y",,"\d{5}","LZ"
2,"A",,,14,14,1,"NUMERIC","RECORD FLAG","Y",1,"\d",
3,"A",,,15,16,2,"NUMERIC","FORM ID","Y",10,"\d{2}",
4,"A",,,17,21,5,"NUMERIC","INSURER CODE NUMBER (ZERO PAD RIGHT)","Y",,"\d{5}","LZ"
5,"A",,,22,30,9,"NUMERIC","INSURER FEDERAL TAX ID NUMBER","Y",,"\d{9}",
6,"A",,,31,39,9,"NUMERIC","INSURER LOCATION ZIP CODE","Y",,"\d{5}(\d{4})?","RS"
7,"A",,,40,44,5,"NUMERIC","SERVICE CO/TPA CODE NUMBER",,,"\d{5}","LZ"
8,"A",,,45,53,9,"NUMERIC","SERVICE CO/TPA FEDERAL TAX ID NUMBER",,,"\d{9}",
9,"A",,,54,62,9,"NUMERIC","SERVICE CO/TPA LOCATION ZIP CODE",,,"\d{5}(\d{4})?","RS"
10,"A",2,"EMPLOYEE'S SS # OR DIVISION ASSIGNED #",63,71,9,"NUMERIC","EMPLOYEE IDENTIFICATION NUMBER","Y",,"\d{9}",
11,"A",3,"DATE OF ACCIDENT",72,79,8,"DATE","DATE OF ACCIDENT, INJURY OR ILLNESS","Y",,"\d{8}",
12,"A",1,"EMPLOYEE'S NAME",80,109,30,"TEXT","INJURED EMPLOYEE'S LAST NAME","Y",,"[A-Z_\- ]+","RS"
13,"A",1,"EMPLOYEE'S NAME",110,124,15,"TEXT","INJURED EMPLOYEE'S FIRST NAME","Y",,"[A-Z_\- ]+","RS"
14,"A",1,"EMPLOYEE'S NAME",125,125,1,"TEXT","INJURED EMPLOYEE'S MIDDLE INITIAL",,,"[A-Z]",
15,"A",4,"EMPLOYEE'S DOB",126,133,8,"DATE","INJURED EMPLOYEE'S DOB","Y",,"\d{8}",
